"class","ESCOLARIDADE","Freq","sum_socio","sum_class","freq_total","freq_socio","freq_class","freq_br"
"1","Até primário",94102,176615,493184,3619.30769230769,53.2808651586785,19.0805054502985,18968.6153846154
"2","Até primário",70805,176615,199168,2723.26923076923,40.0900263284545,35.5503896208226,7660.30769230769
"3","Até primário",7346,176615,16182,282.538461538462,4.15932961526484,45.3961191447287,622.384615384615
"4","Até primário",4362,176615,18189,167.769230769231,2.46977889760213,23.9815272967178,699.576923076923
"1","Ginásio",93318,140854,493184,3589.15384615385,66.2515796498502,18.9215384116273,18968.6153846154
"2","Ginásio",41921,140854,199168,1612.34615384615,29.7620230877362,21.0480599293059,7660.30769230769
"3","Ginásio",2863,140854,16182,110.115384615385,2.03260113308816,17.692497837103,622.384615384615
"4","Ginásio",2752,140854,18189,105.846153846154,1.9537961293254,15.1300236406619,699.576923076923
"1","Colegial",190841,261376,493184,7340.03846153846,73.013972208619,38.6956997793927,18968.6153846154
"2","Colegial",59252,261376,199168,2278.92307692308,22.6692580803134,29.7497589974293,7660.30769230769
"3","Colegial",3797,261376,16182,146.038461538462,1.45269649853085,23.4643430972686,622.384615384615
"4","Colegial",7486,261376,18189,287.923076923077,2.86407321253673,41.1567430864808,699.576923076923
"1","Superior",114923,147878,493184,4420.11538461538,77.7147378244228,23.3022563586815,18968.6153846154
"2","Superior",27190,147878,199168,1045.76923076923,18.3867782902122,13.6517914524422,7660.30769230769
"3","Superior",2176,147878,16182,83.6923076923077,1.47148324970584,13.4470399208998,622.384615384615
"4","Superior",3589,147878,18189,138.038461538462,2.42700063565912,19.7317059761394,699.576923076923
